playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,teamName,wins,topWsPlayer
Dominique Wilkins*,SF,ORL,27,134,16,71,4,1,23,0.398,1999,SF,27,15.4,31.200,-0.1,0.3,0.3,0.0,-2.4,0.0,,,
Gerald Wilkins,SG,ORL,3,2,1,1,0,0,3,0.000,1999,SG,3,-14.8,20.900,-0.2,0.0,-0.2,-15.2,-4.9,-0.1,,,
Aaron Williams,PF,SEA,40,158,22,128,14,24,30,0.423,1999,PF,40,15.2,18.400,0.6,0.4,1.1,-1.7,0.1,0.0,,,
Alvin Williams,PG,TOR,50,248,130,82,51,12,56,0.430,1999,PG,50,10.4,13.600,0.5,0.6,1.2,-2.5,0.3,-0.1,,,
Brandon Williams,SG,SAS,3,2,0,1,0,0,0,,1999,SG,3,24.4,20.500,0.0,0.0,0.0,9.0,-1.6,0.0,,,
Eric Williams,SF,DEN,38,277,37,81,27,8,49,0.379,1999,SF,38,10.7,19.100,0.5,-0.2,0.2,-2.0,-1.5,-0.3,,,
Herb Williams,C,NYK,6,10,0,6,0,2,2,0.500,1999,C,6,12.2,15.400,0.0,0.0,0.1,-0.6,-1.0,0.0,,,
Hot Rod Williams,C,DAL,25,29,15,83,13,18,13,0.333,1999,C,25,7.4,5.700,0.0,0.3,0.4,-3.1,1.5,0.0,,,
Jason Williams,PG,SAC,50,641,299,153,95,1,143,0.455,1999,PG,50,12.8,19.100,0.7,1.3,2.1,-0.6,-0.3,0.5,,,
Jayson Williams,C,NJN,30,242,33,360,24,60,46,0.445,1999,C,30,14.5,13.000,0.9,1.3,2.2,-1.1,0.1,0.3,,,
Jerome Williams,PF,DET,50,355,23,349,63,7,41,0.500,1999,PF,50,18.2,14.800,2.9,1.9,4.8,1.9,-0.1,1.1,,,
Micheal Williams,PG,TOR,2,2,0,1,0,0,1,0.200,1999,PG,2,-6.5,18.100,-0.1,0.0,-0.1,-7.9,-5.4,0.0,,,
Monty Williams,SF,DEN,1,1,0,0,0,0,0,0.000,1999,SF,1,-7.6,21.700,0.0,0.0,0.0,-10.3,-9.6,0.0,,,
Scott Williams,C,TOT,7,14,1,14,3,2,4,0.294,1999,C,7,7.3,24.800,-0.2,0.1,-0.1,-9.3,0.1,-0.1,,,
Scott Williams,C,PHI,2,0,1,2,2,1,2,0.000,1999,C,2,-1.3,10.700,-0.1,0.0,0.0,-12.1,5.4,0.0,,,
Scott Williams,C,MIL,5,14,0,12,1,1,2,0.333,1999,C,5,12.2,33.100,-0.1,0.1,0.0,-7.7,-3.0,-0.1,,,
Shammond Williams,PG,ATL,2,3,1,0,0,0,0,0.000,1999,PG,2,33.8,32.500,0.0,0.0,0.0,7.0,-0.3,0.0,,,
Travis Williams,SF,CHH,8,15,2,19,2,1,6,0.462,1999,SF,8,8.8,15.900,0.0,0.1,0.0,-5.1,0.2,0.0,,,
Walt Williams,SF,POR,48,446,80,143,37,28,63,0.514,1999,SF,48,16.3,20.000,2.1,1.6,3.7,2.2,1.4,1.5,,,
Corliss Williamson,SF,SAC,50,659,66,206,30,8,75,0.486,1999,SF,50,14.7,22.100,1.9,0.6,2.5,-0.4,-1.7,-0.1,,,
Kevin Willis,C,TOR,42,504,67,350,28,28,86,0.418,1999,C,42,15.6,22.400,1.1,1.2,2.4,-0.9,-1.5,-0.1,,,
David Wingate,SG,NYK,20,14,5,8,4,0,6,0.438,1999,SG,20,4.2,11.500,-0.1,0.1,0.0,-5.7,0.9,-0.1,,,
Trevor Winter,C,MIN,1,0,0,3,0,0,0,,1999,C,1,-4.3,0.000,0.0,0.0,0.0,-24.4,-0.6,0.0,,,
Joe Wolf,PF,CHH,3,0,0,1,0,0,0,0.000,1999,PF,3,-14.5,7.400,0.0,0.0,0.0,-20.4,-1.6,-0.1,,,
Haywoode Workman,PG,MIL,29,200,172,102,32,1,63,0.479,1999,PG,29,14.1,14.900,0.9,0.7,1.6,0.5,-0.2,0.5,,,
Lorenzen Wright,C,LAC,48,319,33,361,26,36,48,0.458,1999,C,48,14.7,14.400,1.7,0.5,2.2,-0.9,-1.7,-0.2,,,
Korleone Young,SF,DET,3,13,1,4,0,0,1,0.550,1999,SF,3,31.3,37.600,0.1,0.0,0.1,9.9,-0.5,0.0,,,
